"stco","ppt","year"
12005,1153.98961011297,2018
12007,1020.08740437679,2018
12009,962.164031377059,2018
12011,964.605817327967,2018
12013,1181.87799174394,2018
12015,1135.50832467182,2018
12017,1146.22270752045,2018
12019,1025.05026045637,2018
12021,935.068712928281,2018
12023,983.679772745187,2018
12027,1131.11367298931,2018
12029,1192.50754963189,2018
12031,1013.18043180085,2018
12033,805.364922028917,2018
12035,1150.41127238873,2018
12037,1082.90876293456,2018
12039,893.879518940568,2018
12041,1157.36905514219,2018
12043,870.136794067744,2018
12045,1104.06677410554,2018
12047,938.194503087426,2018
12049,1102.0703204597,2018
12051,979.726514873803,2018
12053,1220.96458702888,2018
12055,976.255586308676,2018
12057,1142.06381442288,2018
12059,946.759159239089,2018
12061,935.916489058635,2018
12063,954.645712902922,2018
12065,1053.78912732429,2018
12067,1063.62072294511,2018
12069,1106.81154700291,2018
12071,1027.19426110975,2018
12073,1138.03265529465,2018
12075,1299.75602945631,2018
12077,1086.35724088968,2018
12079,1024.24187788101,2018
12081,1167.42824241809,2018
12083,1150.30685586723,2018
12085,1158.34831314757,2018
12086,982.724014028063,2018
12087,NA,2018
12089,934.480329658958,2018
12091,1052.98229628625,2018
12093,891.113814448767,2018
12095,1097.61410258924,2018
12097,974.158144339249,2018
12099,964.97695762734,2018
12101,1188.24818233357,2018
12103,982.179817835912,2018
12105,1119.17674759447,2018
12107,1199.89671970947,2018
12109,994.087455410894,2018
12111,1077.92503773052,2018
12113,954.198604091816,2018
12115,1097.78824390871,2018
12117,1223.30443886101,2018
12119,1047.22799005088,2018
12121,959.703462212409,2018
12123,1365.38551060504,2018
12125,1072.23215819098,2018
12127,1171.53216332764,2018
12129,1042.04636579583,2018
12131,998.747080099888,2018
12133,1110.34326421322,2018
13001,848.932760124255,2018
13003,787.992438480687,2018
13005,802.986194897988,2018
13007,933.616840434184,2018
13009,700.792788821736,2018
13011,950.636296858287,2018
13013,862.16972249723,2018
13015,730.551363112175,2018
13017,852.927211983449,2018
13019,806.992718407774,2018
13021,791.104579364587,2018
13023,786.781915413872,2018
13025,1056.8235335723,2018
13027,892.25003245436,2018
13029,723.554289858283,2018
13031,789.361734883347,2018
13033,806.825407128891,2018
13035,815.611836541245,2018
13037,919.75052161218,2018
13039,948.934566969451,2018
13043,804.815711510056,2018
13045,828.909010317852,2018
13047,963.984289600482,2018
13049,991.050980499614,2018
13051,744.675001289571,2018
13053,862.7115243387,2018
13055,879.676895671128,2018
13057,770.123202678686,2018
13059,886.655932761074,2018
13061,868.48133055714,2018
13063,772.524348934741,2018
13065,792.203324613697,2018
13067,756.497350401695,2018
13069,710.451348683002,2018
13071,869.195072885488,2018
13073,680.244497878537,2018
13075,867.70442562716,2018
13077,843.231438905192,2018
13079,807.949989341871,2018
13081,835.937124932462,2018
13083,843.776672968415,2018
13085,965.556368812916,2018
13087,944.026839531233,2018
13089,796.751718502671,2018
13091,857.458539845969,2018
13093,812.614007325625,2018
13095,949.076252495786,2018
13097,806.234853548517,2018
13099,898.131574387106,2018
13101,826.854057236318,2018
13103,737.224078826256,2018
13105,748.986017740251,2018
13107,783.504538656482,2018
13109,744.349274966959,2018
13111,969.960941992041,2018
13113,778.345754848225,2018
13115,797.519691322078,2018
13117,832.89676090573,2018
13119,897.723620538348,2018
13121,816.027035831051,2018
13123,970.749853002955,2018
13125,771.634532213924,2018
13127,904.427858202185,2018
13129,813.208189468486,2018
13131,891.68057100024,2018
13133,648.552873292238,2018
13135,899.443005640658,2018
13137,1145.1969428237,2018
13139,933.924124809708,2018
13141,643.240170522307,2018
13143,825.257187435102,2018
13145,996.638902364302,2018
13147,817.897841013884,2018
13149,813.272846403216,2018
13151,767.814535547064,2018
13153,796.494670033353,2018
13155,818.570098152157,2018
13157,847.01681044359,2018
13159,771.476134387046,2018
13161,796.442081317364,2018
13163,749.957084074993,2018
13165,798.175777094069,2018
13167,758.776498849104,2018
13169,775.690128173786,2018
13171,912.818224538225,2018
13173,827.481575177144,2018
13175,770.240867158506,2018
13177,881.03489595672,2018
13179,763.755931300657,2018
13181,711.004369159878,2018
13183,802.834972699076,2018
13185,862.023787896558,2018
13187,1012.9491881762,2018
13189,747.171703114022,2018
13191,867.119785315745,2018
13193,794.609477507039,2018
13195,855.823834305929,2018
13197,938.790854736001,2018
13199,796.389416579488,2018
13201,969.538711496819,2018
13205,887.722115483425,2018
13207,902.465833827855,2018
13209,899.719947326382,2018
13211,815.212868473718,2018
13213,1020.14863822324,2018
13215,992.014683618738,2018
13217,818.883740044364,2018
13219,835.746282275128,2018
13221,766.154357945187,2018
13223,747.026885020713,2018
13225,844.635372288516,2018
13227,825.188952552584,2018
13229,969.513128738816,2018
13231,754.498509019747,2018
13233,837.03979654361,2018
13235,855.362826306848,2018
13237,686.279609608408,2018
13239,824.397306214757,2018
13241,1284.89226173418,2018
13243,875.333325578356,2018
13245,808.273613664215,2018
13247,826.346167523379,2018
13249,819.858994102195,2018
13251,757.778843366867,2018
13253,923.787347286591,2018
13255,749.716182538686,2018
13257,1017.28496679837,2018
13259,810.012315009257,2018
13261,781.868158132198,2018
13263,989.378974010858,2018
13265,624.663432436234,2018
13267,834.068993150542,2018
13269,889.867995599846,2018
13271,864.70025158574,2018
13273,795.298203598425,2018
13275,911.958526691688,2018
13277,843.20138997513,2018
13279,840.779547590908,2018
13281,1020.89108474609,2018
13283,765.670279557883,2018
13285,800.214909916281,2018
13287,892.337421410301,2018
13289,728.601328015443,2018
13291,1007.26769833678,2018
13293,877.048464667453,2018
13295,915.968651692008,2018
13297,867.0144552743,2018
13299,921.403967210143,2018
13301,790.141980119699,2018
13303,739.732583719718,2018
13305,847.594117285106,2018
13307,731.629420339677,2018
13309,867.276611521094,2018
13311,1137.60280992109,2018
13313,963.99803888678,2018
13315,857.111765599684,2018
13317,749.58846996395,2018
13319,675.685565329388,2018
13321,888.157468900691,2018
16001,113.661332292994,2018
16003,218.25132365265,2018
16005,192.137536138403,2018
16007,178.771915095034,2018
16009,205.388671498415,2018
16011,173.23086723239,2018
16013,152.964435216329,2018
16015,192.142241957039,2018
16017,246.320224768325,2018
